id,city,price,minutes,way,rooms,total_area,storey,storeys,renovation,building_age_years
0,Moscow,95000,20,walk,3,120.0,7.0,25.0,9,8
1,Moscow,38000,20,walk,1,34.0,7.0,9.0,5,37
2,Moscow,70000,15,walk,2,60.0,9.0,17.0,8,24
3,Moscow,100000,13,walk,3,74.0,5.0,5.0,7,41
4,Moscow,73000,27,walk,3,71.0,10.0,14.0,8,26
5,Moscow,60000,20,walk,3,75.0,3.0,5.0,5,45
6,Moscow,185000,15,walk,3,79.0,7.0,9.0,6,35
7,Moscow,185000,15,walk,3,76.0,8.0,9.0,7,37
8,Moscow,50000,23,car,3,85.0,4.0,4.0,6,48
9,Moscow,65000,16,walk,2,68.0,13.0,14.0,8,30
10,Moscow,80000,23,walk,2,50.0,5.0,8.0,7,33
11,Moscow,150000,15,walk,4,130.0,17.0,24.0,8,9
12,Moscow,47000,20,walk,2,55.0,6.0,17.0,7,23
13,Moscow,39000,20,walk,1,33.0,8.0,9.0,6,36
14,Moscow,35000,25,walk,1,34.0,6.0,9.0,7,34
15,Moscow,40000,15,walk,1,35.0,9.0,12.0,7,37
16,Moscow,40000,25,car,1,35.0,10.0,16.0,6,30
17,Moscow,32000,25,walk,1,38.0,1.0,12.0,7,35
18,Moscow,45000,20,walk,2,45.0,3.0,9.0,5,37
19,Moscow,35000,20,walk,1,39.0,9.0,14.0,7,34
20,Moscow,38000,17,walk,1,33.0,6.0,9.0,6,38
21,Moscow,60000,26,walk,3,60.0,5.0,5.0,6,37
22,Moscow,25000,15,walk,1,39.0,2.0,17.0,7,26
23,Moscow,25000,15,walk,1,48.0,3.0,9.0,7,35
24,Moscow,26000,17,walk,1,46.0,2.0,5.0,5,47
25,Moscow,26000,15,walk,1,48.0,6.0,17.0,8,25
26,Moscow,80000,15,walk,2,62.0,7.0,17.0,7,22
27,Moscow,37000,25,walk,1,40.0,8.0,12.0,7,29
28,Moscow,30000,27,car,1,35.0,8.0,9.0,7,40
29,Moscow,165000,30,walk,5,270.0,2.0,3.0,5,42
30,Moscow,45000,25,walk,2,50.0,5.0,5.0,5,37
31,Moscow,43000,20,walk,1,37.0,5.0,12.0,7,27
32,Moscow,45000,25,walk,1,37.0,2.0,12.0,8,28
33,Moscow,50000,20,walk,1,35.0,1.0,5.0,5,44
34,Moscow,65000,15,walk,2,70.0,2.0,17.0,6,27
35,Moscow,60000,20,walk,2,64.0,8.0,15.0,7,22
36,Moscow,45000,20,walk,1,38.0,7.0,12.0,7,33
37,Moscow,50000,20,walk,1,41.0,16.0,16.0,7,29
38,Moscow,50000,13,walk,1,33.0,5.0,12.0,7,37
39,Moscow,40000,20,walk,2,38.0,14.0,14.0,7,30
40,Moscow,38000,25,walk,1,67.1817770743839,3.0,5.0,5,45
41,Moscow,55999,17,walk,1,40.0,6.0,17.0,7,20
42,Moscow,59999,17,walk,1,26.0,3.0,33.0,10,1
43,Moscow,55000,30,car,2,55.0,3.0,17.0,7,19
44,Moscow,47000,25,walk,1,40.0,22.0,22.0,8,20
